index,Date,Open,High,Low,Close,Volume,MarketCap
0,Feb 01 2022,0.9295,0.9428,0.9133,0.9237,19622782,279138204
0,Jan 31 2022,0.9071,0.9409,0.8625,0.9292,31558304,280826254
0,Jan 30 2022,0.9289,0.9577,0.8908,0.907,32188434,274104556
0,Jan 29 2022,0.9288,0.9524,0.8969,0.9284,32033550,280570540
0,Jan 28 2022,0.8607,0.9516,0.8581,0.9283,62962175,280551470
0,Jan 27 2022,0.8335,0.8725,0.8083,0.8607,30652173,260102385
0,Jan 26 2022,0.8227,0.8831,0.8011,0.8336,40101214,251930570
0,Jan 25 2022,0.7782,0.8341,0.7638,0.8227,86048349,248633279
0,Jan 24 2022,0.7547,0.7931,0.6654,0.7781,63519908,235143643
0,Jan 23 2022,0.7042,0.794,0.6977,0.7541,61263212,227887047
0,Jan 22 2022,0.7936,0.8042,0.6321,0.7034,41560786,212578692
0,Jan 21 2022,0.8973,0.9242,0.7745,0.7928,38961547,239601337
0,Jan 20 2022,0.9637,1.01,0.8962,0.8971,19718846,271127157
0,Jan 19 2022,1.02,1.02,0.9425,0.9646,26871823,291519426
0,Jan 18 2022,1.07,1.08,0.9977,1.02,29462435,309116950
0,Jan 17 2022,1.13,1.13,1.05,1.07,25754163,323756437
0,Jan 16 2022,1.12,1.14,1.11,1.13,19588651,341160260
0,Jan 15 2022,1.13,1.14,1.11,1.12,15906843,339547705
0,Jan 14 2022,1.13,1.14,1.09,1.13,36831950,341572561
0,Jan 13 2022,1.20,1.21,1.13,1.13,39441053,342645020
0,Jan 12 2022,1.13,1.20,1.10,1.20,45733173,362718510
0,Jan 11 2022,1.09,1.14,1.04,1.13,48135254,341899793
0,Jan 10 2022,1.17,1.18,1.02,1.09,66419441,329678236
0,Jan 09 2022,1.15,1.19,1.14,1.17,30040190,353864993
0,Jan 08 2022,1.20,1.23,1.12,1.15,38179268,348292849
0,Jan 07 2022,1.28,1.30,1.17,1.20,61111711,363615864
0,Jan 06 2022,1.33,1.34,1.21,1.28,130466662,388015729
0,Jan 05 2022,1.46,1.51,1.27,1.33,48024936,321776041
0,Jan 04 2022,1.50,1.55,1.45,1.46,44451950,352260775
0,Jan 03 2022,1.54,1.63,1.47,1.50,71212804,362236650
0,Jan 02 2022,1.46,1.58,1.44,1.54,88806199,371359918
0,Jan 01 2022,1.43,1.46,1.42,1.46,21564799,352100684
0,Dec 31 2021,1.43,1.50,1.40,1.43,38258256,344322282
0,Dec 30 2021,1.41,1.47,1.37,1.43,45429473,345082661
0,Dec 29 2021,1.51,1.53,1.38,1.42,70808562,342362808
0,Dec 28 2021,1.72,1.72,1.49,1.51,70895218,364351006
0,Dec 27 2021,1.74,1.77,1.70,1.71,55363010,413958206
0,Dec 26 2021,1.73,1.78,1.68,1.74,69310810,420820991
0,Dec 25 2021,1.68,1.78,1.65,1.73,90939210,417502452
0,Dec 24 2021,1.68,1.88,1.61,1.67,180787421,404617122
0,Dec 23 2021,1.46,1.68,1.42,1.67,65800924,403315349
