index,Date,Open,High,Low,Close,Volume,MarketCap
0,Jan 31 2022,53.36,54.40,49.86,52.28,527695069,3184118467
0,Jan 30 2022,49.58,55.97,49.32,53.36,664847018,3249778885
0,Jan 29 2022,46.98,49.93,46.40,49.57,501554098,3019468894
0,Jan 28 2022,47.26,48.27,44.90,46.99,373547494,2862069568
0,Jan 27 2022,49.68,50.41,45.07,47.26,329531965,2878571631
0,Jan 26 2022,50.79,55.47,48.64,49.70,303072789,3026881560
0,Jan 25 2022,51.18,51.85,49.58,50.79,240367247,3093544655
0,Jan 24 2022,54.20,54.55,44.61,51.17,379107125,3116565760
0,Jan 23 2022,50.03,54.13,49.86,54.13,250402045,3296895302
0,Jan 22 2022,58.13,59.25,47.96,50.00,424829822,3045113477
0,Jan 21 2022,69.07,69.17,57.48,58.10,344260843,3538550198
0,Jan 20 2022,71.89,75.73,69.04,69.04,166330634,4205275049
0,Jan 19 2022,73.89,74.05,70.76,71.90,210270540,4379424628
0,Jan 18 2022,76.62,77.24,72.36,73.90,270687216,4500838705
0,Jan 17 2022,80.28,83.03,75.34,76.62,472396801,4666616588
0,Jan 16 2022,75.63,82.43,74.74,80.28,527346898,4889649568
0,Jan 15 2022,73.67,76.13,73.22,75.71,149427425,4611458240
0,Jan 14 2022,73.08,75.61,71.28,73.67,210398594,4486863940
0,Jan 13 2022,78.15,78.63,73.08,73.08,224128494,4450843075
0,Jan 12 2022,72.58,79.27,72.31,78.15,272840097,4760095188
0,Jan 11 2022,68.44,73.31,67.70,72.55,248471042,4418755105
0,Jan 10 2022,72.05,73.09,65.52,68.44,243936453,4168715244
0,Jan 09 2022,70.56,74.03,69.44,72.05,215172287,4388552599
0,Jan 08 2022,73.46,75.62,68.01,70.58,267713639,4298760296
0,Jan 07 2022,78.97,79.05,70.71,73.45,377707329,4473398677
0,Jan 06 2022,80.36,80.75,75.82,78.97,397680711,4809865212
0,Jan 05 2022,92.98,94.87,77.18,80.35,461511075,4893962674
0,Jan 04 2022,94.33,96.67,92.86,93.00,215310519,5664518328
0,Jan 03 2022,96.51,97.78,92.45,94.32,218054397,5745020909
0,Jan 02 2022,94.04,96.59,93.34,96.51,169025982,5878248215
0,Jan 01 2022,93.30,95.09,91.80,94.04,199277571,5727890853
0,Dec 31 2021,95.09,97.82,91.36,93.30,193157441,5682453146
0,Dec 30 2021,93.79,96.60,92.06,95.10,181392028,5792317030
0,Dec 29 2021,99.91,100.79,93.10,93.69,245140672,5706472719
0,Dec 28 2021,107.10,107.45,99.11,99.97,319365641,6088807882
0,Dec 27 2021,107.54,111.60,106.38,107.00,292953375,6517289911
0,Dec 26 2021,109.12,109.26,105.64,107.57,237282009,6551674566
0,Dec 25 2021,104.67,110.37,103.99,109.14,322235914,6647503702
0,Dec 24 2021,107.34,109.73,103.94,104.59,317136078,6370470006
0,Dec 23 2021,101.58,107.91,99.87,107.17,300681734,6527531788
0,Dec 22 2021,97.26,103.98,96.41,101.54,365436579,6184545587
0,Dec 21 2021,92.61,97.86,92.26,97.24,306595236,5922467404
0,Dec 20 2021,95.26,96.08,89.63,92.57,250067717,5638344047
0,Dec 19 2021,96.17,98.40,94.65,95.30,194757717,5804543521
0,Dec 18 2021,94.63,97.31,92.84,96.15,204124781,5856542912
0,Dec 17 2021,98.01,99.19,91.70,94.59,268813291,5761245902
0,Dec 16 2021,101.54,103.61,97.28,98.03,217523033,5970658055
0,Dec 15 2021,96.18,103.02,92.10,101.56,313885833,6185598265
0,Dec 14 2021,92.91,96.86,92.23,96.02,334071930,5848361251
0,Dec 13 2021,104.27,104.84,91.09,92.92,310260281,5659751141
0,Dec 12 2021,103.00,105.69,100.80,104.26,184339038,6350090715
0,Dec 11 2021,97.61,103.85,95.76,103.04,237252979,6276061116
0,Dec 10 2021,103.83,106.67,97.55,97.66,303198059,5948523486
0,Dec 09 2021,113.09,115.14,102.91,103.84,505803087,6324673779
0,Dec 08 2021,105.76,121.23,105.18,113.28,828863680,6899521770
0,Dec 07 2021,106.08,110.01,104.71,105.91,356939214,6450777117
0,Dec 06 2021,107.56,107.62,95.64,106.14,590410474,6464504643
0,Dec 05 2021,117.97,121.13,104.86,107.37,475761320,6539453525
0,Dec 04 2021,127.75,128.17,98.78,118.02,869850947,7188107680
0,Dec 03 2021,134.94,141.88,126.00,127.59,717352128,7771370087
0,Dec 02 2021,135.08,136.06,131.75,135.08,322574791,8227536408
0,Dec 01 2021,136.95,143.26,133.62,135.10,475839443,8228506014
0,Nov 30 2021,134.58,139.32,131.97,137.15,433877145,8353396974
0,Nov 29 2021,133.10,137.52,132.75,134.66,387340052,8202097242
0,Nov 28 2021,127.86,134.69,123.54,133.01,419134418,8101158206
0,Nov 27 2021,125.58,129.78,124.64,127.96,277264485,7793810320
0,Nov 26 2021,138.85,140.44,123.22,125.03,570632598,7615387098
0,Nov 25 2021,140.27,144.36,137.52,138.95,909900348,8463172444
0,Nov 24 2021,136.44,144.92,132.80,134.32,543122809,8181112237
0,Nov 23 2021,128.20,138.93,126.87,136.48,536344111,8312529061
0,Nov 22 2021,130.38,132.85,126.28,128.16,430744458,7805910070
0,Nov 21 2021,132.52,141.39,128.31,130.52,585821941,7949661603
0,Nov 20 2021,131.74,133.19,126.33,132.37,434063496,8062179522
0,Nov 19 2021,123.60,133.07,122.40,131.75,470825595,8024499569
0,Nov 18 2021,135.35,136.89,121.03,123.76,673264413,7537992530
0,Nov 17 2021,133.63,139.25,132.09,135.24,591438716,8237132133
0,Nov 16 2021,142.72,143.30,122.98,133.91,601216672,8155863013
0,Nov 15 2021,142.38,146.48,141.37,141.97,355337019,8646749243
0,Nov 14 2021,143.03,146.12,139.98,142.35,325408620,8670383002
