index,Date,Open,High,Low,Close,Volume,MarketCap
0,Feb 01 2022,1.53,1.59,1.45,1.51,3068882,157248483
0,Jan 31 2022,1.49,1.54,1.34,1.53,3263681,158882921
0,Jan 30 2022,1.62,1.64,1.45,1.49,2118184,154969170
0,Jan 29 2022,1.69,1.71,1.56,1.62,4523867,168637978
0,Jan 28 2022,1.70,1.75,1.62,1.69,3460536,175457269
0,Jan 27 2022,1.76,1.78,1.62,1.70,3648613,177147642
0,Jan 26 2022,1.69,1.99,1.58,1.75,6308103,182541106
0,Jan 25 2022,1.43,1.71,1.37,1.69,4405237,176317913
0,Jan 24 2022,1.60,1.61,1.21,1.43,5413005,148360677
0,Jan 23 2022,1.45,1.77,1.42,1.60,5109287,166682305
0,Jan 22 2022,1.62,1.73,1.34,1.46,5437445,151500012
0,Jan 21 2022,2.18,2.24,1.62,1.62,8784281,168547113
0,Jan 20 2022,2.49,2.71,2.18,2.18,6146619,227320736
0,Jan 19 2022,2.83,2.85,2.48,2.49,3851766,258633635
0,Jan 18 2022,2.78,2.84,2.59,2.83,5517437,294214337
0,Jan 17 2022,3.03,3.04,2.76,2.78,5811788,289158796
0,Jan 16 2022,3.26,3.31,3.02,3.03,3604476,315004580
0,Jan 15 2022,3.22,3.29,3.18,3.26,2715306,338912145
0,Jan 14 2022,3.21,3.28,3.15,3.22,4528298,335363491
0,Jan 13 2022,3.43,3.54,3.18,3.21,5733577,333982533
0,Jan 12 2022,3.10,3.43,2.99,3.43,6615573,356488202
0,Jan 11 2022,2.95,3.13,2.90,3.10,6387980,322453703
0,Jan 10 2022,3.30,3.35,2.79,2.94,10187019,306426923
0,Jan 09 2022,2.98,3.34,2.97,3.30,7241173,340166298
0,Jan 08 2022,2.71,3.24,2.67,2.98,13294843,306937170
0,Jan 07 2022,3.10,3.11,2.64,2.72,10404120,280227587
0,Jan 06 2022,3.11,3.38,2.91,3.10,11367982,319492622
0,Jan 05 2022,3.65,3.72,2.91,3.11,13638280,321201756
0,Jan 04 2022,3.41,3.87,3.38,3.65,14597734,376929370
0,Jan 03 2022,3.20,3.63,3.11,3.41,11767446,351309483
0,Jan 02 2022,3.07,3.24,2.89,3.20,7919252,330359717
0,Jan 01 2022,2.55,3.12,2.55,3.07,9729960,316501758
0,Dec 31 2021,2.49,2.74,2.47,2.55,5818236,263429212
0,Dec 30 2021,2.33,2.53,2.29,2.49,4009302,257207067
0,Dec 29 2021,2.43,2.55,2.31,2.33,3120012,240311455
0,Dec 28 2021,2.68,2.68,2.32,2.43,6463317,250513558
0,Dec 27 2021,2.38,2.78,2.35,2.68,5994304,276604820
0,Dec 26 2021,2.40,2.43,2.26,2.38,2878257,245102759
0,Dec 25 2021,2.41,2.44,2.35,2.40,2624341,247702833
0,Dec 24 2021,2.47,2.59,2.32,2.41,5001382,248628337
0,Dec 23 2021,2.23,2.52,2.16,2.47,5062351,254340311
0,Dec 22 2021,2.24,2.36,2.15,2.23,4359526,229907561
0,Dec 21 2021,2.16,2.28,2.13,2.24,3816931,230950799
0,Dec 20 2021,2.22,2.22,2.06,2.16,3104135,223041311
0,Dec 19 2021,2.32,2.40,2.17,2.22,3320553,228634724
0,Dec 18 2021,2.23,2.33,2.13,2.32,3454065,239660406
0,Dec 17 2021,2.21,2.30,2.07,2.22,5132074,229272831
0,Dec 16 2021,2.33,2.49,2.20,2.21,4450281,227691925
0,Dec 15 2021,2.34,2.46,2.03,2.33,6565368,240408464
0,Dec 14 2021,2.20,2.42,2.07,2.16,5217192,223285551
0,Dec 13 2021,2.61,2.69,2.15,2.21,8621740,227572330
0,Dec 12 2021,2.08,2.64,2.02,2.61,8858466,269569766
0,Dec 11 2021,1.98,2.25,1.91,2.08,7251872,214874655
0,Dec 10 2021,2.04,2.19,1.92,1.98,6542268,203950623
0,Dec 09 2021,2.38,2.46,1.93,2.04,8503518,209873426
0,Dec 08 2021,2.30,2.47,2.08,2.38,8477787,245202344
0,Dec 07 2021,2.53,2.79,2.27,2.30,8115381,237352446
0,Dec 06 2021,2.54,2.65,1.91,2.53,16267521,260269317
0,Dec 05 2021,2.84,2.96,2.53,2.55,8404393,262296850
0,Dec 04 2021,2.97,2.98,2.21,2.84,16072738,292689680
0,Dec 03 2021,3.22,3.51,2.88,2.97,12459895,305683493
0,Dec 02 2021,3.42,3.53,2.99,3.21,13611837,330342244
0,Dec 01 2021,3.58,3.97,3.43,3.46,15793399,356182383
0,Nov 30 2021,3.04,3.83,3.04,3.59,21654278,369894204
0,Nov 29 2021,2.97,3.14,2.75,3.05,15074925,314101543
0,Nov 28 2021,2.90,2.98,2.55,2.98,11099967,306778962
0,Nov 27 2021,2.95,3.19,2.67,2.90,14394337,298860734
